# V    B-V
15.943 0.836
15.714 0.649
15.843 0.958
16.074 0.961
14.318 0.674
15.154 0.819
15.240 0.843
15.224 0.807
15.752 0.927
15.323 0.568
15.055 0.775
15.584 0.946
14.593 0.718
16.295 1.424
14.504 0.846
15.914 0.980
14.438 0.706
15.850 1.128
14.460 0.812
15.797 0.870
15.389 0.879
14.340 0.682
14.786 0.711
15.392 0.591
14.248 0.775
14.248 0.775
14.120 0.724
14.537 0.684
20.205 0.481
22.010 0.440
18.590 1.520
18.590 1.359
17.350 1.460
17.373 1.515
17.327 1.432
20.810 1.870
20.380 1.250
16.620 1.270
16.627 1.290
16.614 1.255
16.611 1.299
20.100 1.310
19.925 1.533
20.120 1.450
19.940 1.680
19.851 1.583
19.510 1.500
19.521 1.348
19.890 0.810
19.830 0.741
20.590 1.650
20.310 1.810
21.110 0.390
21.080 0.569
17.690 1.469
17.792 1.536
19.658 1.682
20.477 0.940
20.780 1.370
19.930 1.600
16.788 1.292
16.837 1.262
17.595 1.023
17.642 0.997
16.666 1.134
16.664 1.095
16.646 0.701
12.090 1.020
13.310 0.620
13.349 0.590
14.760 0.720
14.718 0.729
14.756 0.715
14.725 0.727
12.720 0.560
12.693 0.564
12.718 0.553
12.691 0.543
12.712 0.549
12.693 0.559
13.300 0.460
13.262 0.462
13.260 0.464
13.307 0.465
13.288 0.456
13.266 0.466
15.380 0.830
15.377 0.848
15.382 0.835
15.384 0.832
15.398 0.833
16.200 1.180
16.182 1.179
16.183 1.182
15.610 1.050
15.606 1.030
15.418 0.950
14.330 0.660
14.292 0.658
14.283 0.644
14.285 0.649
14.333 0.537
14.304 0.551
14.320 0.660
14.303 0.675
14.313 0.719
14.305 0.654
13.020 0.860
13.051 0.877
13.004 0.959
13.019 0.860
13.027 0.855
14.919 0.732
14.781 0.725
13.289 0.594
13.301 0.628
13.294 0.569
13.301 0.565
15.267 0.818
15.286 0.807
15.565 0.822
15.547 0.849
15.567 0.821
15.793 0.880
15.545 0.852
15.687 0.948
15.547 0.882
14.925 0.713
14.897 0.733
14.900 0.725
16.253 1.015
