# V     B-V
20.3345 0.5687
16.3875 0.7069
19.0948 0.429
19.1255 0.4059
19.9828 0.5097
19.7680 0.5454
18.6203 0.4145
18.8785 0.4405
18.2077 0.4356
19.0333 0.4117
21.0730 -1.5331
20.0186 0.5641
18.8675 0.4059
20.1254 1.6682
19.6271 0.4947
18.6315 0.4414
18.7814 0.4433
17.5208 0.6103
20.2216 0.5659
19.2036 0.5191
19.2446 0.5668
15.5043 0.732
19.8705 0.5687
18.4819 0.4261
17.4538 0.613
19.5826 0.5668
20.2516 -1.1789
19.0943 0.449
19.3880 0.6625
18.8134 0.4106
19.1347 0.401
19.8565 0.3739
19.5305 0.4068
18.5854 0.4106
19.9114 0.4842
20.5679 0.021
18.2428 0.3971
20.1614 0.5779
18.5179 0.3923
18.8348 0.5079
19.1705 0.4068
18.2613 0.4117
19.5202 0.4519
19.8258 0.6103
18.8812 0.2436
18.7047 0.5126
17.9306 0.4385
18.0176 0.4376
19.5371 0.4576
19.0279 0.4624
19.7038 0.5565
18.1973 0.45
18.5088 0.3952
18.2766 0.4029
18.9219 0.4624
20.4370 0.6634
18.8851 0.3554
19.3055 0.4077
19.3867 0.4356
19.4245 0.4395
19.3179 0.427
18.6037 0.4328
19.2770 0.4605
19.7112 0.4927
18.2159 0.4643
18.9798 0.4308
19.2819 0.4643
17.9129 0.5041
20.1938 0.6816
15.3353 0.7329
18.6323 0.3797
17.8210 0.5454
19.4552 0.4528
19.4255 0.4049
19.9704 0.4833
20.1979 0.6066
19.8313 1.3654
19.1087 0.4719
20.0723 0.6406
18.6364 0.4814
18.3503 0.3807
20.1401 0.5407
17.9780 0.4232
17.2179 0.6725
19.2068 0.3962
18.5193 0.4117
18.8221 0.5425
19.9321 0.5946
15.0128 0.06
17.9550 0.5003
19.8828 0.3358
19.1388 0.5097
19.9570 0.5956
17.1244 0.6387
18.0537 0.4347
20.8333 -1.2721
19.1747 0.5126
17.5566 0.6241
18.4268 0.5069
18.4068 0.4672
19.3808 0.3632
17.3564 0.5743
18.8286 0.4039
18.5184 0.4443
18.9054 0.4814
17.3367 0.6176
19.4536 0.5173
18.1234 0.4452
18.3902 0.5333
19.6491 0.5398
19.1533 0.4889
19.2878 0.4662
19.0624 0.4833
19.6628 0.5529
19.5629 0.5501
18.9368 0.3953
19.4867 0.5612
19.0452 0.3826
19.4907 0.401
18.0207 0.4356
18.4547 0.4
18.0735 0.4414
17.6350 0.5974
18.9544 0.4106
15.7499 0.3603
17.4909 0.4279
18.3226 0.4385
18.0457 0.4719
19.4367 0.4728
20.0895 0.5201
18.2674 0.4842
19.4618 0.5556
16.7416 0.5668
18.3459 0.4279
19.0066 0.4385
19.3419 0.4261
20.1076 0.5191
19.5081 0.5416
14.9832 0.7419
14.6411 0.7571
19.1328 0.4681
18.6978 0.429
18.4977 0.368
20.0881 0.4203
19.9271 0.326
18.5224 0.3768
18.8939 0.4279
17.9661 0.4576
18.3053 0.4472
19.1386 0.5154
18.8152 0.4528
18.1041 0.4193
19.4508 0.6103
18.1561 0.4567
18.1240 0.4614
18.7209 0.5032
17.6442 0.647
19.3935 0.5229
18.7923 0.5304
19.2280 0.5472
19.4880 0.4222
19.7813 0.4862
19.5700 0.5012
19.8887 0.6158
18.1375 0.4059
19.9431 0.5919
19.6286 0.5191
19.5904 0.7248
18.7023 0.4126
19.0860 0.3013
18.9345 0.4414
18.9469 0.427
19.5877 1.5307
19.2574 0.4824
18.8508 0.429
20.3289 0.6066
18.9537 0.5144
18.3008 0.3971
19.6985 1.4785
18.9460 0.5426
19.9622 0.5881
18.7155 0.4049
19.8059 0.4279
17.2441 0.6606
18.9853 0.449
16.8159 0.1585
18.6546 0.4376
19.4389 0.603
18.8274 0.4452
18.4066 0.4039
18.9469 0.3942
19.5437 0.5126
19.7624 0.6369
18.7122 0.451
19.6838 0.3632
17.7382 0.5342
19.4702 0.4909
19.6030 0.4241
20.1547 0.6158
18.3007 0.4347
19.8508 0.4308
18.8965 0.3748
19.5889 0.505
18.3420 0.4605
17.6238 1.2852
18.3133 0.4135
19.4677 0.5107
18.6587 0.3991
19.9945 0.4786
19.5814 0.4443
20.0894 0.636
19.0466 0.5659
18.8832 0.4174
19.3970 0.5992
19.9670 1.8939
18.5531 0.3269
20.2325 0.5229
19.8147 0.368
17.8694 0.5266
15.9624 0.7221
19.3445 0.4077
19.2389 0.5032
18.1343 0.3788
19.4416 0.6196
18.0570 0.4232
18.5730 0.4222
18.1923 0.4126
20.1241 0.5919
19.7662 0.4918
18.4415 0.4423
19.0733 0.4126
18.6246 0.4385
19.7885 0.5714
18.1699 0.4652
20.5270 0.425
19.0879 0.4261
19.0171 0.3856
18.3856 0.4366
20.3156 0.5182
